name,count,Stop_Number
Unheated Shelter,1,10558
Bench,1,10559
BUSwatch Electronic Sign,1,10561
Bench,2,10561
Heated Shelter,1,10561
BUSwatch Electronic Sign,1,10562
Bench,2,10562
Heated Shelter,1,10562
Bench,1,10563
Unheated Shelter,1,10563
Bench,1,10564
Unheated Shelter,1,10564
Bench,1,10565
Unheated Shelter,1,10565
Bench,1,10566
Bench,1,10567
Unheated Shelter,1,10567
Bench,1,10568
Bench,1,10569
Unheated Shelter,1,10569
Bench,1,10570
Unheated Shelter,1,10570
Bench,1,10571
Bike Rack/Locker,1,10571
Bench,2,10572
Bench,1,10573
Unheated Shelter,1,10573
Bench,1,10574
Unheated Shelter,1,10574
Bench,1,10575
Unheated Shelter,1,10575
BUSwatch Electronic Sign,1,10576
Bench,1,10576
Unheated Shelter,1,10576
Bench,1,10577
Heated Shelter,1,10577
Bench,1,10578
Heated Shelter,1,10578
BUSwatch Electronic Sign,1,10579
Bench,1,10579
Heated Shelter,1,10579
BUSwatch Electronic Sign,1,10580
Bench,2,10580
Heated Shelter,1,10580
BUSwatch Electronic Sign,1,10581
Bench,1,10581
Heated Shelter,1,10581
BUSwatch Electronic Sign,1,10582
Bench,2,10582
Heated Shelter,1,10582
BUSwatch Electronic Sign,1,10583
Bench,2,10583
Heated Shelter,1,10583
,,10584
BUSwatch Electronic Sign,1,10585
Bench,2,10585
Heated Shelter,1,10585
Bench,1,10586
Unheated Shelter,1,10586
,,10587
Bench,1,10588
Unheated Shelter,1,10588
Bench,1,10589
Bench,1,10590
Unheated Shelter,1,10590
Bench,1,10591
Unheated Shelter,1,10591
Bench,1,10592
Unheated Shelter,1,10592
Bench,2,10593
Unheated Shelter,1,10593
Bench,1,10594
Unheated Shelter,1,10594
Bench,1,10595
BUSwatch Electronic Sign,1,10596
Bench,1,10596
Heated Shelter,1,10596
Unheated Shelter,1,10598
BUSwatch Electronic Sign,1,10599
Bench,1,10599
Heated Shelter,1,10599
Unheated Shelter,1,10600
,,10602
Bench,1,10604
Bench,1,10607
Bench,1,10608
,,10609
BUSwatch Electronic Sign,1,10611
Bench,2,10611
Heated Shelter,1,10611
BUSwatch Electronic Sign,1,10612
Bench,2,10612
Heated Shelter,1,10612
BUSwatch Electronic Sign,1,10614
Bench,2,10614
Heated Shelter,1,10614
BUSwatch Electronic Sign,1,10615
Bench,2,10615
Heated Shelter,1,10615
Heated Shelter,1,10616
BUSwatch Electronic Sign,1,10617
Bench,2,10617
Heated Shelter,1,10617
BUSwatch Electronic Sign,1,10618
Heated Shelter,1,10618
BUSwatch Electronic Sign,1,10619
Bench,3,10619
Heated Shelter,1,10619
,,10620
,,10623
Bench,1,10624
Unheated Shelter,1,10624
BUSwatch Electronic Sign,1,10625
Bench,2,10625
Unheated Shelter,1,10625
Bench,1,10627
Bench,2,10628
Unheated Shelter,1,10628
BUSwatch Electronic Sign,1,10629
Bench,3,10629
Heated Shelter,1,10629
Bench,1,10630
Unheated Shelter,1,10630
Bench,1,10631
Unheated Shelter,1,10631
BUSwatch Electronic Sign,1,10632
Bench,1,10632
Unheated Shelter,1,10632
,,10633
Bench,1,10634
Unheated Shelter,1,10634
BUSwatch Electronic Sign,1,10635
Bench,2,10635
Heated Shelter,1,10635
BUSwatch Electronic Sign,1,10636
Bench,4,10636
Unheated Shelter,1,10636
Unheated Shelter,1,10637
BUSwatch Electronic Sign,1,10638
Bench,1,10638
Heated Shelter,1,10638
Unheated Shelter,1,10639
,,10640
BUSwatch Electronic Sign,1,10641
Bench,2,10641
Heated Shelter,1,10641
BUSwatch Electronic Sign,1,10642
Bench,2,10642
Unheated Shelter,1,10642
,,10643
Bench,1,10644
Heated Shelter,1,10644
Bench,1,10645
Bench,1,10646
Bench,1,10648
Bench,1,10649
Bench,1,10650
Unheated Shelter,1,10650
,,10651
Bench,2,10652
Unheated Shelter,1,10652
Bench,1,10653
,,10654
,,10655
,,10656
,,10657
,,10658
,,10664
,,10665
,,10666
,,10667
,,10668
,,10669
,,10670
Bench,1,10671
Bench,1,10672
Bench,1,10676
,,10685
Unheated Shelter,1,10686
Unheated Shelter,1,10687
Unheated Shelter,1,10695
,,10696
,,10699
Bench,1,10700
Bench,1,10701
Bench,1,10702
Unheated Shelter,1,10703
BUSwatch Electronic Sign,1,10704
Heated Shelter,1,10704
Unheated Shelter,1,10706
Heated Shelter,1,10707
,,10709
,,10710
Bench,1,10712
,,10713
Bench,1,10714
Bench,1,10715
Bench,1,10716
Bench,1,10719
Unheated Shelter,1,10719
Bench,1,10720
Unheated Shelter,1,10720
Bench,1,10721
,,10722
,,10723
,,10724
,,10725
,,10726
,,10727
,,10728
,,10729
Bench,1,10730
,,10732
,,10733
Bench,1,10735
Unheated Shelter,1,10735
,,10736
Bench,1,10737
Bench,1,10740
Bench,1,10741
Unheated Shelter,1,10743
Bench,1,10744
,,10745
,,10746
,,10747
,,10748
,,10749
,,10750
,,10751
Bench,1,10752
,,10753
,,10754
,,10755
,,10756
,,10757
Bench,1,10758
Unheated Shelter,1,10758
Bench,1,10759
Unheated Shelter,1,10759
Bench,1,10760
,,10761
,,10762
,,10763
,,10764
,,10765
Bench,1,10766
,,10767
,,10768
,,10769
,,10770
,,10771
Bench,1,10772
,,10773
,,10775
,,10776
,,10777
,,10778
Bench,1,10779
Bench,1,10780
Bench,1,10781
Unheated Shelter,1,10781
BUSwatch Electronic Sign,1,10782
Bench,1,10782
Heated Shelter,1,10782
Bench,1,10783
Bench,1,10784
Bench,1,10785
Unheated Shelter,1,10785
Bench,1,10786
Unheated Shelter,1,10786
Bench,1,10787
Unheated Shelter,1,10788
Bench,1,10789
,,10790
,,10791
,,10792
,,10793
,,10794
,,10795
,,10796
,,10797
,,10798
,,10800
Bench,1,10801
Unheated Shelter,1,10801
,,10802
Bench,1,10803
Bench,2,10804
,,10805
,,10806
Bench,1,10808
,,10810
,,10811
,,10812
,,10813
,,10814
Unheated Shelter,1,10815
,,10817
,,10818
,,10819
Bench,1,10820
,,10821
BUSwatch Electronic Sign,1,10822
BUSwatch Electronic Sign,1,10823
Bench,2,10823
Heated Shelter,1,10823
BUSwatch Electronic Sign,1,10824
Heated Shelter,1,10824
BUSwatch Electronic Sign,1,10825
Bench,1,10825
BUSwatch Electronic Sign,1,10826
Bench,1,10826
BUSwatch Electronic Sign,1,10827
Heated Shelter,1,10827
Bench,1,10830
Unheated Shelter,1,10830
,,10832
,,10834
Heated Shelter,1,10835
,,10836
,,10837
Bench,1,10838
Bench,1,10839
Unheated Shelter,1,10840
,,10841
BUSwatch Electronic Sign,1,10844
Bench,2,10844
BUSwatch Electronic Sign,1,10845
Bench,2,10845
BUSwatch Electronic Sign,1,10846
Bench,2,10846
Unheated Shelter,1,10864
BUSwatch Electronic Sign,1,10870
Bench,1,10870
Heated Shelter,1,10870
,,10872
Bench,1,10874
Unheated Shelter,1,10874
,,10875
Bench,1,10877
Unheated Shelter,1,10877
,,10878
BUSwatch Electronic Sign,1,10880
Bench,1,10880
BUSwatch Electronic Sign,1,10881
,,10901
,,10902
Unheated Shelter,1,10904
BUSwatch Electronic Sign,1,10907
Bench,1,10907
Heated Shelter,1,10907
,,10910
Bench,1,10911
,,10939
,,11010
,,11016
,,11022
Bench,1,11023
,,11024
Unheated Shelter,1,11025
BUSwatch Electronic Sign,1,11027
Bench,2,11027
Bike Rack/Locker,2,11027
Heated Shelter,1,11027
BUSwatch Electronic Sign,1,11028
Bench,3,11028
Bike Rack/Locker,1,11028
BUSwatch Electronic Sign,1,11029
Bench,6,11029
Bike Rack/Locker,2,11029
Heated Shelter,1,11029
BUSwatch Electronic Sign,1,11030
Bench,6,11030
Bike Rack/Locker,1,11030
BUSwatch Electronic Sign,1,11031
Bench,4,11031
Heated Shelter,1,11031
BUSwatch Electronic Sign,1,11032
Bench,4,11032
Bike Rack/Locker,2,11032
Heated Shelter,1,11032
BUSwatch Electronic Sign,1,11033
Bench,2,11033
Bike Rack/Locker,1,11033
Heated Shelter,1,11033
BUSwatch Electronic Sign,1,11034
Bench,2,11034
Bike Rack/Locker,1,11034
Heated Shelter,1,11034
,,11035
,,11036
,,11037
Bike Rack/Locker,1,11038
Unheated Shelter,1,11039
Bench,1,11040
Bench,1,11041
,,11042
Bench,1,11043
Bench,1,11044
,,11045
,,11046
,,11047
,,11048
Unheated Shelter,1,11049
Unheated Shelter,1,11050
,,11051
,,11052
,,11053
,,11054
,,11055
,,11056
,,11057
,,11058
,,11059
,,50001
,,50002
,,50003
,,50004
,,50005
,,50006
,,50007
Bench,1,50008
Bench,1,50009
,,50010
Bench,1,50011
,,50012
Bench,1,50013
Bench,1,50014
Bench,1,50015
Bench,1,50016
,,50017
,,50018
Bench,1,50019
Unheated Shelter,1,50019
,,50020
,,50021
Bench,1,50022
,,50024
,,50025
Bench,1,50026
Bench,1,50027
,,50029
,,50030
,,50031
,,50032
,,50033
,,50034
Bench,1,50035
,,50036
,,50037
Bench,1,50038
,,50039
Bench,1,50040
Unheated Shelter,1,50040
Bench,1,50041
,,50042
,,50043
Unheated Shelter,1,50044
,,50045
Bench,1,50046
,,50047
,,50048
,,50049
,,50050
,,50051
,,50052
Unheated Shelter,1,50053
Bench,1,50054
,,50055
,,50056
,,50057
,,50058
Bench,1,50059
Bench,1,50060
Unheated Shelter,1,50060
,,50061
Bench,1,50062
,,50063
,,50064
Bench,1,50065
Bench,1,50066
,,50067
,,50068
,,50069
,,50070
Bench,1,50071
Bench,1,50072
Bench,1,50073
Unheated Shelter,1,50073
Bench,1,50074
,,50075
,,50076
,,50077
,,50078
,,50079
,,50080
,,50081
,,50082
,,50083
,,50084
Bench,1,50085
Unheated Shelter,1,50085
Bench,1,50086
,,50087
,,50088
,,50089
,,50090
Bench,1,50091
,,50092
Bench,1,50093
Unheated Shelter,1,50093
,,50094
,,50095
Bench,1,50096
,,50097
Unheated Shelter,1,50098
,,50099
,,50100
Bench,1,50101
Bench,1,50102
Bench,1,50103
Bench,1,50104
,,50105
Bench,1,50106
Unheated Shelter,1,50106
,,50107
Bench,1,50108
Bench,1,50109
Unheated Shelter,1,50110
Bench,1,50111
,,50112
,,50113
,,50114
,,50115
,,50116
,,50117
,,50118
,,50119
,,50120
,,50121
,,50122
,,50123
,,50124
,,50125
Bench,1,50126
Unheated Shelter,1,50127
,,50128
,,50129
,,50130
,,50131
,,50132
,,50133
,,50134
,,50135
Bench,1,50136
Unheated Shelter,1,50136
,,50137
,,50138
Bench,1,50139
,,50140
,,50141
Bench,1,50142
Bench,1,50144
Bench,1,50145
,,50146
Bench,1,50147
,,50148
,,50149
Bench,1,50150
,,50151
,,50152
Bench,1,50153
,,50154
,,50155
,,50156
,,50157
,,50160
,,50161
Bench,1,50162
Unheated Shelter,1,50162
Bench,1,50163
Bench,1,50164
Bench,1,50165
,,50166
Unheated Shelter,1,50167
,,50168
,,50169
Bench,2,50170
Unheated Shelter,1,50170
Bench,1,50171
Bench,1,50173
Bench,1,50174
Unheated Shelter,1,50175
Bench,1,50176
Unheated Shelter,1,50176
Bench,1,50177
Unheated Shelter,1,50178
,,50179
,,50181
Unheated Shelter,1,50182
,,50183
,,50184
,,50185
Bench,1,50186
Bench,1,50187
,,50188
Unheated Shelter,1,50189
Bench,1,50190
Unheated Shelter,1,50190
Bench,1,50191
Bench,1,50192
,,50193
,,50195
,,50196
Bench,1,50197
,,50198
Heated Shelter,1,50199
Bench,1,50200
,,50201
Bench,1,50202
Bench,1,50203
Bench,1,50204
,,50205
Bench,1,50206
Unheated Shelter,1,50206
BUSwatch Electronic Sign,1,50207
Bench,2,50207
Heated Shelter,1,50207
Bench,1,50208
,,50209
,,50210
,,50211
,,50212
,,50213
,,50214
,,50215
,,50216
,,50217
,,50219
,,50220
,,50221
Bench,2,50222
Bench,1,50223
,,50224
Bench,1,50225
Bench,1,50226
Unheated Shelter,1,50226
,,50227
,,50228
Bench,1,50229
Bench,1,50230
Unheated Shelter,1,50230
,,50231
,,50232
,,50233
,,50234
,,50235
,,50236
,,50237
,,50238
,,50239
,,50240
,,50241
,,50242
,,50243
,,50244
,,50245
,,50246
,,50247
Bench,1,50248
Unheated Shelter,1,50248
Unheated Shelter,1,50249
Bench,1,50250
Unheated Shelter,1,50250
Unheated Shelter,1,50251
Heated Shelter,1,50252
,,50253
,,50254
Bench,1,50255
,,50256
Bench,1,50257
,,50258
,,50259
,,50260
,,50261
BUSwatch Electronic Sign,1,50262
Bench,1,50262
Heated Shelter,1,50262
,,50264
Bench,2,50265
Unheated Shelter,1,50265
Bench,2,50266
Unheated Shelter,1,50266
Bench,3,50267
Unheated Shelter,1,50267
Bench,1,50268
Bench,1,50269
Unheated Shelter,1,50269
,,50270
Bench,1,50271
Bench,1,50272
,,50273
,,50274
,,50275
Bench,1,50276
,,50277
Bench,1,50278
,,50279
,,50280
,,50281
Bench,1,50282
Bench,1,50283
,,50284
,,50285
Bench,1,50286
Heated Shelter,1,50286
Bench,1,50287
Bench,1,50288
Bench,1,50289
Unheated Shelter,1,50289
Bench,1,50290
Bench,1,50291
Bench,1,50292
Bench,1,50293
Bench,1,50294
Bench,1,50295
Bench,1,50296
Bench,1,50297
Bench,1,50298
Unheated Shelter,1,50298
Bench,1,50299
Bench,1,50300
Bench,1,50301
Bench,1,50302
Unheated Shelter,1,50302
Bench,1,50303
Unheated Shelter,1,50303
Bench,1,50304
Bench,1,50305
,,50306
,,50307
Bench,1,50308
Bench,1,50309
Unheated Shelter,1,50309
Bench,1,50310
Heated Shelter,1,50310
Bench,1,50311
Heated Shelter,1,50311
Park and Ride,1,50311
Bench,1,50312
Unheated Shelter,1,50312
,,50313
Bench,1,50314
Park and Ride,1,50314
Unheated Shelter,1,50314
Bench,1,50315
,,50316
,,50317
,,50318
,,50319
Bench,1,50320
Unheated Shelter,1,50320
,,50321
,,50322
,,50323
,,50324
,,50325
,,50326
,,50327
,,50328
Bench,1,50329
Unheated Shelter,1,50329
,,50330
,,50331
,,50332
,,50333
,,50334
,,50335
,,50336
,,50337
,,50338
,,50340
,,50341
Bench,1,50342
Bench,1,50343
,,50344
,,50345
,,50346
Bench,1,50347
,,50348
,,50349
,,50352
,,50353
Bench,1,50354
,,50355
,,50356
Bench,1,50357
,,50358
,,50359
Unheated Shelter,1,50360
,,50361
,,50362
,,50363
,,50364
,,50365
,,50366
Bench,1,50367
Unheated Shelter,1,50367
Bench,1,50368
Bench,1,50369
Bench,1,50370
Bench,1,50371
Bench,1,50372
,,50373
Bench,1,50374
Bench,1,50375
Bench,1,50376
Bench,1,50377
Bench,1,50378
Bench,1,50379
Unheated Shelter,1,50379
,,50380
,,50381
,,50382
,,50383
,,50384
,,50385
,,50386
,,50387
,,50388
,,50389
,,50390
Bench,1,50391
Bench,1,50392
,,50393
Bench,1,50394
,,50395
Bench,1,50396
Bench,1,50397
,,50398
,,50399
Bench,1,50400
Unheated Shelter,1,50400
Bench,1,50401
BUSwatch Electronic Sign,1,50402
Bench,1,50402
Heated Shelter,1,50402
Bench,1,50403
Bench,2,50404
Heated Shelter,1,50404
Bench,2,50405
Bench,1,50406
Bench,1,50407
Unheated Shelter,1,50407
,,50408
,,50409
,,50410
Unheated Shelter,1,50411
Bench,1,50412
Unheated Shelter,1,50412
,,50413
,,50414
,,50415
,,50416
,,50417
,,50418
Bench,1,50419
Bench,1,50421
,,50424
,,50425
Unheated Shelter,1,50426
Bench,1,50427
,,50428
,,50429
Bench,1,50430
,,50432
,,50433
,,50434
,,50435
,,50436
,,50437
,,50438
,,50439
,,50440
,,50441
,,50442
,,50443
,,50444
,,50445
,,50446
,,50447
,,50448
,,50449
,,50450
,,50451
,,50452
,,50454
,,50455
,,50456
,,50457
,,50458
,,50459
,,50460
,,50461
,,50462
,,50463
,,50464
Unheated Shelter,1,50465
Unheated Shelter,1,50466
,,50469
Bench,1,50470
Bench,1,50473
Unheated Shelter,1,50473
Bench,1,50474
Unheated Shelter,1,50474
Bench,1,50475
Bench,1,50476
,,50479
Bench,1,50480
Unheated Shelter,1,50480
,,50481
Bench,1,50482
Bench,2,50483
Heated Shelter,1,50483
Bench,1,50484
Unheated Shelter,1,50484
Bench,1,50485
Bench,1,50486
Unheated Shelter,1,50486
Bench,1,50487
Bench,1,50488
Bench,1,50489
Bench,1,50490
Bench,1,50491
Bench,1,50492
Bench,1,50493
Bench,1,50494
Unheated Shelter,1,50494
Bench,1,50495
Unheated Shelter,1,50495
Bench,1,50496
Unheated Shelter,1,50496
Bench,1,50497
Unheated Shelter,1,50497
Bench,1,50498
Unheated Shelter,1,50498
Bench,1,50499
,,50500
,,50502
Bench,1,50503
Bench,1,50504
Unheated Shelter,1,50504
,,50505
Bench,1,50508
Unheated Shelter,1,50508
,,50509
Bench,1,50510
Bench,1,50511
Bench,1,50512
Bench,1,50513
Unheated Shelter,1,50513
Bench,1,50514
Bench,1,50515
Unheated Shelter,1,50515
Bench,1,50516
Unheated Shelter,1,50516
Bench,1,50517
Bench,1,50518
,,50519
Bench,1,50520
Bench,1,50521
Unheated Shelter,1,50521
Bench,1,50522
Unheated Shelter,1,50522
Unheated Shelter,1,50523
,,50524
Bench,1,50525
,,50526
Bench,1,50527
Unheated Shelter,1,50528
Bench,1,50529
Unheated Shelter,1,50530
,,50531
Bench,1,50532
Heated Shelter,1,50532
Bench,1,50533
Unheated Shelter,1,50534
Bench,1,50535
Unheated Shelter,1,50535
Bench,1,50536
Unheated Shelter,1,50536
Bench,1,50537
Unheated Shelter,1,50537
Bench,1,50538
Heated Shelter,1,50538
Bench,1,50539
Unheated Shelter,1,50539
Bench,1,50540
Bench,1,50541
Unheated Shelter,1,50541
Bench,1,50542
Bench,1,50543
Bench,2,50544
Unheated Shelter,1,50544
Bench,1,50545
Bench,1,50546
Bench,1,50547
Bench,1,50548
Bench,1,50549
Bench,1,50550
Bench,1,50551
Bench,1,50552
Bench,1,50553
,,50554
Bench,1,50555
Bench,1,50556
Bench,1,50557
Bench,1,50558
Unheated Shelter,1,50558
Bench,1,50559
,,50561
Bench,1,50562
Unheated Shelter,1,50562
Bench,1,50563
Bench,1,50564
Bench,1,50565
Bench,1,50566
Bench,1,50567
Bench,1,50568
Bench,1,50569
Unheated Shelter,1,50569
Bench,1,50570
Unheated Shelter,1,50570
Bench,1,50571
Unheated Shelter,1,50571
Bench,1,50572
Unheated Shelter,1,50572
Bench,1,50573
Heated Shelter,1,50573
BUSwatch Electronic Sign,1,50574
Bench,1,50574
Unheated Shelter,1,50575
Bench,1,50576
Bench,1,50577
Unheated Shelter,1,50577
Bench,1,50578
Unheated Shelter,1,50578
Bench,1,50579
Heated Shelter,1,50579
Bench,1,50580
,,50581
Bench,1,50582
Unheated Shelter,1,50582
Bench,1,50583
Bench,1,50584
Bench,1,50585
Bench,2,50586
Heated Shelter,1,50586
Park and Ride,1,50586
Bench,1,50587
,,50588
,,50589
Bench,1,50590
Unheated Shelter,1,50590
,,50591
,,50592
,,50593
,,50594
Bench,1,50595
Unheated Shelter,1,50595
Bench,1,50596
Unheated Shelter,1,50596
Bench,1,50597
Bench,1,50598
Bench,1,50599
Unheated Shelter,1,50599
,,50600
Bench,1,50602
Bench,1,50603
Unheated Shelter,1,50604
,,50605
,,50606
,,50607
,,50608
,,50609
,,50610
,,50611
,,50612
,,50613
,,50614
Bench,1,50615
Unheated Shelter,1,50615
,,50616
Bench,1,50617
Unheated Shelter,1,50617
,,50618
,,50619
Unheated Shelter,1,50621
Bench,1,50622
Bench,1,50624
,,50625
,,50626
,,50627
Unheated Shelter,1,50628
,,50629
Unheated Shelter,1,50630
,,50631
,,50632
Bench,1,50633
Unheated Shelter,1,50633
Bench,1,50634
,,50635
,,50636
,,50637
,,50638
Bench,1,50639
,,50640
,,50641
,,50642
,,50643
,,50644
,,50645
,,50646
,,50647
Bench,1,50649
,,50650
Bench,1,50651
Bench,1,50652
,,50653
,,50654
,,50655
Bench,1,50657
Unheated Shelter,1,50657
Bench,1,50658
Bench,1,50659
,,50660
,,50661
,,50662
,,50665
,,50666
,,50668
,,50669
,,50670
,,50671
,,50672
,,50673
,,50674
Bench,1,50675
,,50676
Bench,1,50678
,,50679
,,50681
,,50682
,,50683
Bench,1,50684
Unheated Shelter,1,50684
,,50685
Bench,1,50686
,,50687
,,50688
,,50690
,,50691
,,50692
,,50693
,,50694
,,50695
,,50696
,,50697
,,50698
,,50699
,,50700
,,50701
,,50702
,,50703
,,50704
,,50705
,,50706
,,50707
,,50708
,,50709
Bench,1,50710
,,50711
,,50712
,,50713
,,50714
,,50716
,,50718
,,50719
,,50720
,,50721
,,50722
,,50723
Bench,1,50724
,,50725
,,50726
Bench,1,50727
Unheated Shelter,1,50727
Unheated Shelter,1,50728
,,50729
Bench,1,50730
Unheated Shelter,1,50730
Unheated Shelter,1,50731
,,50732
,,50733
,,50734
Unheated Shelter,1,50735
Bench,1,50736
Unheated Shelter,1,50737
,,50738
,,50739
,,50740
,,50741
,,50742
,,50743
,,50744
,,50745
,,50747
,,50748
,,50749
,,50750
,,50751
,,50752
,,50753
Bench,1,50754
Bench,1,50756
,,50757
,,50759
,,50761
,,50762
Bench,1,50763
,,50764
,,50766
Bench,1,50768
,,50769
Bench,1,50770
Unheated Shelter,1,50771
,,50772
Bench,1,50773
Bench,1,50774
,,50776
,,50777
,,50778
,,50779
,,50780
,,50781
Bench,1,50782
Bench,1,50783
Bench,1,50784
Bench,1,50785
Bench,1,50786
Bench,1,50787
Bench,1,50788
,,50792
,,50793
,,50794
Bench,1,50795
,,50796
Bench,1,50797
,,50798
,,50799
Bench,1,50800
,,50801
,,50802
,,50803
,,50804
,,50805
Bench,1,50806
Bench,1,50807
Unheated Shelter,1,50808
,,50809
,,50810
Bench,1,50811
Bench,1,50812
Bench,1,50814
Bench,1,50815
Bench,1,50816
Unheated Shelter,1,50816
,,50817
,,50818
,,50819
,,50821
,,50822
,,50823
Bench,1,50824
Unheated Shelter,1,50824
,,50825
Bench,1,50826
,,50827
,,50828
,,50829
,,50830
,,50831
Bench,1,50832
Unheated Shelter,1,50832
,,50833
,,50834
,,50835
,,50836
,,50837
,,50838
,,50839
Bench,1,50840
,,50841
,,50842
,,50843
,,50844
,,50845
,,50846
,,50847
Bench,1,50848
Bench,1,50849
,,50850
,,50851
,,50853
Bench,2,50854
Heated Shelter,1,50854
,,50855
,,50856
,,50857
,,50858
,,50859
,,50860
,,50861
,,50862
,,50863
,,50864
Bench,1,50865
Bench,1,50866
,,50867
,,50868
,,50869
,,50870
,,50871
Unheated Shelter,1,50872
,,50873
,,50874
,,50875
,,50876
BUSwatch Electronic Sign,1,50878
Unheated Shelter,1,50878
BUSwatch Electronic Sign,1,50879
Heated Shelter,1,50879
BUSwatch Electronic Sign,1,50880
BUSwatch Electronic Sign,1,50881
BUSwatch Electronic Sign,1,50882
Bench,1,50882
BUSwatch Electronic Sign,1,50883
